low,high,recent_strength,all_strength,avg_strength,persistent,zone_type
15384,15462,0.0,0.4,0.2,False,短期区
15695,15773,0.0,强：0.8,0.4,False,短期区
15773,15851,0.0,0.5,0.2,False,短期区
15928,16006,0.0,0.6,0.3,False,短期区
16084,16161,0.1,0.6,0.4,False,短期区
16239,16317,0.5,0.4,0.5,False,短期区
16317,16395,强：0.9,强：1.0,强：1.0,True,持久区
16705,16783,强：1.0,0.3,强：0.7,False,短期区
