low,high,recent_strength,all_strength,avg_strength,persistent,zone_type
55503,55780,0.5,0.5,0.5,True,持久区
56056,56332,0.6,0.6,0.6,True,持久区
57436,57712,0.7,0.7,0.7,True,持久区
58817,59093,强：1.0,强：1.0,强：1.0,True,持久区
60750,61026,1.0,1.0,1.0,True,持久区
